bse_symbol,nse_symbol
TAJGVK,TAJGVK
OPTOCIRCUI,OPTOCIRCUI
CREATIVEYE,CREATIVEYE
AXISCADES,AXISCADES
UMESLTD,UMESLTD
BSOFT,BSOFT
MEGASOFT,MEGASOFT
CEREBRAINT,CEREBRAINT
NEXTMEDIA,NEXTMEDIA
SMARTLINK,SMARTLINK
GODREJCP,GODREJCP
BFUTILITIE,BFUTILITIE
UNITDSPR,MCDOWELL-N
OLECTRA,OLECTRA
MPSLTD,MPSLTD
CERA,CERA
BHARTIARTL,BHARTIARTL
COMPUAGE,COMPINFO
GULPOLY,GULPOLY
PONNIERODE,PONNIERODE
PNB,PNB
OFSS,OFSS
APTECHT,APTECHT
UNIONBANK,UNIONBANK
UBL,UBL
ISMTLTD,ISMTLTD
NOIDATOLL,NOIDATOLL
GRANULES,GRANULES
CANBK,CANBK
POKARNA,POKARNA
DIVISLAB,DIVISLAB
ASTRAMICRO,ASTRAMICRO
RADICO,RADICO
SHRIRAMCIT,SHRIRAMCIT
MARUTI,MARUTI
NAVINFLUOR,NAVINFLUOR
UCOBANK,UCOBANK
BAGFILMS,BAGFILMS
JSL,JSL
SUPRAJIT,SUPRAJIT
TVSELECT,TVSELECT
IGL,IGL
TVTODAY,TVTODAY
PALRED,PALREDTEC
PETRONET,PETRONET
BIOCON,BIOCON
PTC,PTC
MAHABANK,MAHABANK
RKFORGE,RKFORGE
DATAMATICS,DATAMATICS
NDTV,NDTV
STAR,STAR
JPASSOCIAT,JPASSOCIAT
ULTRACEMCO,ULTRACEMCO
MINDAIND,MINDAIND
TCS,TCS
COFORGE,COFORGE
GULFPETRO,GULFPETRO
CENTURYPLY,CENTURYPLY
WELENT,WELENT
NTPC,NTPC
SALSTEEL,SALSTEEL
JBMA,JBMA
DWARKESH,DWARKESH
INDOCO,INDOCO
VIPCLOTHNG,VIPCLOTHNG
IMPEXFERRO,IMPEXFERRO
XCHANGING,XCHANGING
JETAIRWAYS,JETAIRWAYS
MORARJEE,MORARJEE
GDL,GDL
JINDALPHOT,JINDALPHOT
