Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, FACE VALUE
500040,,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10.0,INE055A01016,Paper & Paper Products,Equity,CENTURYTEX,Century Textiles & Industries Limited,EQ,27-JUN-2003,10,1,10
500041,,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,A ,10.0,INE459A01010,Sugar,Equity,BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10,1,10
500042,,BASF,BASF INDIA LTD.,Active,A ,10.0,INE373A01013,Specialty Chemicals,Equity,BASF,BASF India Limited,EQ,17-MAY-1995,10,1,10
500043,,BATAINDIA,BATA INDIA LTD.,Active,A ,5.0,INE176A01028,Footwear,Equity,BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,5
500048,,BEML,BEML LTD.,Active,A ,10.0,INE258A01016,Commercial Vehicles,Equity,BEML,BEML Limited,EQ,05-NOV-2003,10,1,10
500049,,BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.0,INE263A01024,Defence,Equity,BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,1
500052,,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1.0,INE922A01025,Specialty Chemicals,Equity,BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1,1,1
500055,,TATASTLBSL,Tata Steel Bsl Ltd,Active,B ,2.0,INE824B01021,Iron & Steel/Interm.Products,Equity,TATASTLBSL,Tata Steel Bsl Limited,EQ,21-NOV-2003,2,1,2
500060,,BIRLACABLE,Birla Cable Ltd,Active,B ,10.0,INE800A01015,Other Elect.Equip./ Prod.,Equity,BIRLACABLE,Birla Cable Limited,EQ,06-DEC-1995,10,1,10
500067,,BLUESTARCO,BLUE STAR LTD.,Active,A ,2.0,INE472A01039,Consumer Electronics,Equity,BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,2
500074,,BPL,BPL LTD.,Active,B ,10.0,INE110A01019,Consumer Electronics,Equity,BPL,BPL Limited,EQ,14-JUN-1995,10,1,10
500078,,OAL,Oriental Aromatics Ltd-$,Active,B ,5.0,INE959C01023,Specialty Chemicals,Equity,OAL,Oriental Aromatics Limited,EQ,11-JUL-2019,5,1,5
500083,,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1.0,INE281A01026,Aluminium,Equity,CENTEXT,Century Extrusions Limited,EQ,20-JUL-2004,1,1,1
